review_date,handle,rating,helpfulness_rating,Counterfeit,review
9-Sep-20,Kevin Boulder,3,58,0,"In light of the difficulty finding U.S. certified N95 masks, the best we can usually find these days are certified as KN95. These are made in China and are not quite as good as N95. As of the date I am writing this review, they claim a 99.2% filter efficiency. This mask was reviewed by the CDC using the NIOSH standard for testing and it pulled just below 95% filter efficiency. This is still much, much better than a homemade cloth mask so if you will be in a situation where you would prefer to have greater protection, these should provide a bit more confidence. You can see in the photo that they ship folded flat. There is a bendable strip in the nose piece area that you can conform to the shape of your own nose. They are secured to your face via loops around the ears. This is not as good as a proper N95 mask that would have elastic bands around the back of your head but it should fit well enough. The loops themselves are not elastic rubber but instead that semi-elastic, stretchy woven cloth. Some might find that more comfortable but it will be at the expense of a tighter fit to your face and therefore, slightly higher chance of exposure."
22-Aug-20,Yves K,5,62,1,"The attached images show 100x magnifications of the filtration layer of a POWECOM KN95 mask that I disassembled (along with an out of focus human hair for size comparison) as well as a filtration layer of a KN95 mask that is not FDA authorized (no hair).  In both, the fibers are much narrower than a human hair. However, the filtration layer in the POWECOM mask looks a lot denser than the other, which appears to have small gaps. One thing to note is that this mask can run a bit tighter than some others. We all have differently sized heads, and when it comes to respirators, there is something called a fit test, and you want a mask that fits you well so that 1) all air passes through - not around - your mask, and 2) wearing the mask does not cause you pain."
27-Aug-20,David,1,66,0,"They are comfortable and easy to breathe in but that is due to the fact they are super thin. My daughter, who is a an ER nurse, put one of these on and could tell right away it does not filter at the level of an N95. An N95 is very restrictive to breath in. This mask will work as a surgical type mask but it is deceptive to market these as comparable to U.S. N95."
22-Aug-20,C. Davis,1,71,1,"Paper thin, doubt these are 5 layer.  scary if these are fda approved. I have non fda approved kn95s that are twice as thick. not individually packed. bought them for $40 then they cut the price in half the next week.  Would not buy again, way overpriced for low quality product"
11-Sep-20,Toni M. Whited,1,45,1,"A KN95 mass should be waterproof, have five layers, and be flame proof. So we did a test, thus sacrificing a mask. This one drips, it has four layers, and catches on fire. It also weighs more than one gram less that our other KN95s, which do pass said tests. Nuff said. No good.  Never buying these again."
4-Sep-20,JBonAmazon,1,45,1,"I bought some real KN95 masks at Lowe's, so I know that these aren't real ones. The masks are significantly smaller, like for a small face, and they are not as thick in lining, and the elastic is shorter.  In addition, the ""KN95"" is not actually embossed into the mask, like it is on the Lowe's masks.  However, thanks to Amazon's great return policy, I was able to get my money back.  This is why I always shop at Amazon."
25-Jan-21,TarablyTara,5,32,0,"Make sure you are buying from Innovate Tech. DO NOT purchase the one sold by Amazon, instead go to “other sellers” in the box and look for sold by Innovate Tech, otherwise you will get a fake product. There is a QR code to scan and verify. I bought both (one sold by Innovate and one by Amazon) Innovate’s product was genuine but not Amazon’s. Just because it says from Amazon it is still really a third party seller. They have made a really good fake but the QR code does not check out. I am returning the fake one!"
20-Oct-20,nick,1,35,1,Very likely fraudulent. The masks come in a bag that is 'sealed' with adhesive that allows someone to alter the contents of the bag. Additionally the manufacturer website authentication tool revealed that the verification code had already been used. Twice. The QR code on the authorization sticker opens an app store page for a chat app... I would not trust this product to be what it claims.
26-Jan-21,dawtravelbug,1,27,1,"Buyer beware. The masks I received were in Powecom packaging but the masks inside were not Powecom's.  They were fakes.  Powecom masks have specific designations stamped on the mask. This proves authenticity, and classification certification.  Important: According to OSHA (Occupational Safety and Health Administration) you should NOT buy a KN95 mask that does not have its GB2626-2006 or GB2626-2019 imprinted on it. Only KN95 with these designations stamped on the mask, have proven to filter almost as well as N95. If you get a mask with nothing stamped on the mask, return it, it's a fake."
4-Sep-20,Amazon Pete,1,33,1,They say they are on the FDA approved list for a respirator. I have seen the mask sold other reputable dealers and they say it is not FDA approved. They have the same stamp same bag and same little piece of paper in them. They are 4 cheap layers. Also these are advertised as adult masks but they are children’s mask. I would not recommend these masks.
4-Oct-20,DP,3,28,1,"One of the ways to determine whether a KN-95 is legit is the water test. Open the mask a little bit, pour a few tablespoons of water inside, and see if it leaks. Well, it did, immediately - in 3 different places (circled in photo)! I would not want to be wearing this mask in a high-risk environment. Disappointed. While I find the mask comfortable and am sure that it provides better protection than a piece of cloth, I was hoping for better from an FDA EUA manufacturer."
22-Aug-20,fredrick peters,2,31,0,"Upon opening the package, several of the masks were dirty with a black makeup-like substance. Also, when I tried one of the masks on, the material instantly ripped at the attachment site. The company has since offered a full refund."
25-Jan-21,Amazon Customer,1,24,1,"Something seems fishy with my most recent purchase of these masks. I ordered a pack of these (ear loop style) several weeks ago (first photo) and just ordered a pack of the same ones for my mother (second photo). When they arrived she said the packaging said headband style, which was not what we ordered (3rd photo). Then she opened them and they were in fact ear loop style (which is odd). She sent me a photo of the anti-fake code and when I checked it on the site, the numbers said it was a real mask, but the image (colors and patterns) of the bars and boxes for the bar code were completely different. When I checked my own packages of masks the patterns matched exactly what was shown online. When she sent a photo of the mask it looked different than mine in several ways (the welding spots all had different patterns, while mine looks exactly like the photos on Amazon and the Powecom website). Hers also had “KN95” imprinted (not just with ink) on the mask much like I’d seen with many other brands of KN95 masks (again, mine did not have this). I can’t actually touch these masks to see if they feel legit as she lives in another state but all of this has me doubting their authenticity. It is too bad but if feel like someone is trying to pass off another mask as Powecom since they are on the FDA approved list. I also just tried to email the people listed on the Powecom website and all emails were unable to be delivered."
26-Oct-20,shinobi,1,22,1,"I was sent a package of the masks on the left. The masks on the right are originals, made for China (not for export). The masks I was sent though Amazon are clearly of inferior quality, they are thinner and rougher feeling, the seams are incorrect and not triple stamped around the edges, and the ear loops are stamped on differently. I’m returning and hoping for the best from another seller."
10-Aug-20,iScubaD,5,20,0,"This KN95 mask is bit pricey.  The mask quality seems OK for 4 layer as verified on Powecom website.  The fit was OK since you need to make adjustment for proper fit.  Check for anti-fake authenticity label on bag to scratch off silver covering for numbers to check on Powecom website to see that you are the first to query it.  First, I checked my date and time.  I entered number first time on Powecom website as I was able to see it authenticated.  When I entered the number for second time, it does say it was queried twice with date and time when I first queried.  As of 8/10/2020 FDA's Appendix A listed this mask as authorized imported, Non-NIOSH approved respirators manufactured in China.  There were other quality checks for its authenticity of KN95 masks based on research from various websites.  As of 8/10/2020, so far this mask seems OK.  Things may change overall so be sure to check your own research to verify it all."
29-Aug-20,Thomas Birkemeier,4,19,0,"These would be 5 stars except for the fact that they run small. Other than that, I don't have covid yet so I guess they're doing their job. They have a good seal, seem to be decently made, and the ear elastic hasn't popped yet like so many others do after one use. On a side note, these don't have holes in them. People who say that aren't observant enough to even notice that the clear spots aren't holes, but it's where the layers are melted together using high frequency welding. This takes the place of stitching (which opens up holes) and adhesives (which aren't good to breathe). The melted material is clear, which gives some people the indication that there's holes (which there isn't)."
10-Nov-20,ROZ,1,16,0,This comes in a resealable bag. So anyone could open and close it from the manufacturer to the warehouse to the customer. How can anyone know if this has not been tampered with? If the authenticity sticker is supposed to identify this it was placed right below the seal. See picture. This is unlike other stickers that break off so you know it was opened. The other issue is the powecom website will not load to check the authenticity. Tried 3 times so who knows if this is real.
10-Sep-20,Stephen Cataldo,5,15,0,"It's a little lighter than the 3M disposables: a great compromise for both smoke and COVID. The 5-stars-arent-enough 3M masks, my disposable single-use masks that have lasted 6 months, are hard to breathe through when biking or walking hard when the out-vents are blocked so that I don't spread COVID. These seem almost as good as those heavier masks for smoke, and comfortable enough to wear for social distance walks. Seems ok so far for rotating and wearing over and over, no broken bands yet. If they make me stand in a line to vote, surrounded by COVID and a burning planet, I would wear one of these."
11-Oct-20,Grokyourself,1,17,1,These are not any 95. They failed home testing. Probably counterfeit. Not for virus protection
12-Sep-20,Vick1L,5,14,0,"These maskes passed all three tests for effectiveness.  I did the water test, and it did not leak.  I did the blowing out of the candle test, and I could not blow out the flame. Lastly, I did the light test.  I held the mask up to the light, and the mask was a uniform thickness, not blotchy.  According to the CDC, if a mask passes these tests, then it is effective.  I also feel like there is a good seal around the edges of the mask.  It is more comfortable than an N95.  I can wear this mssk all day at work."
7-Oct-20,Katherine,3,13,1,"Subpar quality, poor fit. These are exactly what you’d think of when when “made in China”. The mask’s shape doesn’t allow a close secure fit to the face. No matter how I adjust the nose wire and ear bands tons of unfiltered air gets in through the sides. I’m an EMT and we test our masks with a “sniff test”. We spray a scented fragrance in the air with the mask on. If you can smell the fragrance, the mask has failed and isn’t working properly. These mask fail the sniff test no matter how I adjust them. They only pass the test if I use both hands to closely secure the mask to my face. It seems the filtering material of the mask itself works, however that’s useless if you can’t get a secure fit.  It’s better than cloth masks in a pandemic but they are in no way comparable to classic N-95’s."
14-Sep-20,Geocouple,3,15,0,"I scraped the tag to get the verification code.  Be sure to be careful because it is easy to scratch it off.  And checked on the Powecom.com website to see if it was valid, which it said it was.  But how do you know?  I cut up a piece of the mask material and there were indeed 5 layers.  Very thin layers.  See photo attached.  The fit is comfortable.  Maybe my overall rating of three stars is too tough, but I just don't know how to be sure."
25-Aug-20,CiCi Cimi,5,13,0,"Amazon still says these are expected to be here next week, but I got them yesterday, two days after ordered. The anti-fake code worked and, I didn’t initially realize, the company sent an email via amazon with instructions on how to do it. For people concerned these aren’t on a CDC list, that list is for NIOSH certified N95 masks, currently prioritized for health care. The FDA has a list, which this company claims to be on and are, for authorized emergency usage of KN95 or other country equivalents to N95s. They did not make false claims and I’m glad I was able to get them but know they are legit. I do work in healthcare and we don’t have enough supplies so I get what I can for myself when I can. If I need more and these are available I will go to them first because of the peace of mind of them being real and effective."
1-Feb-21,TDA,1,10,1,"I’ve been buying POWECOM FDA approved masks for months from another retailer, but for more money. I saw them here for cheaper and that they were bought and sold by amazon and thought I would try them out to see if they were real. Each package comes with a verification sticker on it, where you scratch like a lottery ticket and then enter the numbers into the official POWECOM verification site. When I did that, it showed that these were fakes, which I could tell from the sticker immediately! I had a bag left over from a previous verified purchase, as I mentioned above, and the difference was clear. The numbers on this bag were illegible and fabricated. The masks themselves also were of a lesser quality but looked the same as the originals, as did the bag. I contacted AMAZON and they reviewed and acknowledged that the batch I received were indeed fake. They are obviously still being sold but I was told they disposed of the fakes and restocked with a verified batch. Moral of the story...take the time to scratch the sticker (on the bottom of the bag) and input into powecom website. The numbers should be clear and not missing and powecom will let you know if they are safe to wear. Amazon refunded me, of course. I think I Would rather pay the extra to know what I'm getting is safe and effective. So wrong to scam people firing these times.  Also the real ones are indeed FDA approved, by EU standards. I researched these for awhile. Other than that, the real ones are fantastic and everyone should try them out!! They ensure safety and are comfy, with a snug fit! Hope those helps. Pay attention to what you put on your face!"
22-Jan-21,Cherie,5,13,0,"I was in a car with my someone, whom I did not know was COVID positive at the time, for 3 hours (family emergency).  I wore this mask and he wore a typical, thinner blue mask.  He had been exposed a few days before and tested positive a few days later.  All of my tests have been negative."
15-Oct-20,V and M,5,11,0,"My girlfriend and I found the masks to fit comfortably.  I don’t do well with masks that attach behind my ears, but these are a pleasant exception.  She’s a former RN with a couple years as a scrub nurse.  She assures me that these masks don’t have the fit to be hospital-grade.  While the mask has an appropriately placed wire, she’s still getting a bit of leakage around the upper part of the nose and perhaps the cheek.  But she still loves the mask as the vast majority of air flow comes through the mask.  The company and the mask are approved by the FDA.  I did an internet search on “fda kn95 approved list” and chose the site “Personal Protective Equipment DUAs| FDA”.  In the section “Appendix A: Authorized Imported, Non-NIOSH Approved Respirators Manufactured in China (Updated: October 9, 2020)” I found  Guangzhou Powecom Labor Insurance Supplies Co., LTD  with a respirator model KN95.  There was an anti-fraud sticker on the package that I received.  As instructed I scraped of the outer layer of the sticker and typed the revealed number into an input field on Guangzhou’s website.  I got a verification.  I input the same number modified by one digit and got an error message."
20-Nov-20,Deborah,1,12,1,"What I received is not what is shown in listing photos or other purchaser photos ... No Powecom writing on the mask itself, and no authentication sticker.  Packaging itself appears to be the same. As these are now fulfilled directly through Amazon, I’m disappointed that I cannot trust these to be authentic based on the difference between the product as shown and what I received. Powecom website shows both a stamped mask and the authentication sticker on each bag.  What I received has neither, at best there is no way I can trust these to be authentic."
18-Aug-20,Nicholas Rasmuson,4,16,0,"Received these KN95 mask’s GB2626-2006 In the mail today. They were in plastic package as shown, masks that arrived were as shown in picture. They seem to be well-made. nose piece appear to be good in our inside the material, and elastic straps are correctly place and seem to be secure. Package did have tiny security label. I removed the scratch of the surface and went to the website and was able to input the security number and have them verified real. They are listed on the FDA.gov site in the Appendix A: Authorized Imported, Non-NIOSH Approved Respirators Manufactured in China (Updated: August 14, 2020). I will use these under a cloth mask when traveling."
26-Jan-21,Freespirit625,1,11,0,"Terrible!  Not even in bag. Loose in the shipping bag with the paperwork like they were a return. Not sanitary at all!  Also very small with short ear loops, more for a child than adult."
27-Sep-20,John Estrada,1,10,1,"I opened my package hoping for a quality product somewhat close to the quality of the N95 masks I have had in the past but I was extremely disappointed. Not only were these masks super thin, in fact so thin you can see your finger run past many parts of the mask, but there are also holes in the mask that look like they go through. How can this stop anything? In addition, these masks are so small, it is meant for kids, not an adult. They could not seal around my mouth as even with the best of efforts to adjust the nose and ear loops, it just would not fit. For a minute, I thought I got scammed because this site was down for a week. I thought Amazon took them off their site which I applauded at the time. Now I must warn people not to waste their money with this product. Please do not waste your money on this product. I wouldn't trust my health wearing such a cheaply made low-quality product. No way, no how!"
30-Sep-20,Ralph,4,9,0,"UPDATE: To seal the masks to your nose area, use Silly Putty or the equivalent. Roll out a piece about 1/4"" thick and 3"" long and stick it to the inside of the mask  around the nose area. When you bend the metal strip around your nose, the plastic will deform and lightly stick to your skin producing a perfect seal. I've now found that if you put a couple of strips of plumbers teflon tape to cover the silly putty so the tape is next to your skin, it seals better and the silly putty doesn't stick to your face. ORIGINAL: The problem with these masks is that the metal strip at the top used to bend to fit your nose is too short and unlike the 3M mask there is no foam sealing strip at all. IMHO these design ""features"" are just dumb cost cutting, adding those features would cost pennies and would make the masks much easier to use. I did find it possible to get a good seal, but it was tricky."
22-Aug-20,Vee,1,17,0,Not worth it.
11-Sep-20,Lauren,4,8,0,"Good enough. Not sure if these KN95 masks are truly verified/authentic, but they are made well and I feel good about the protection they provide. They are a little big on my face, and the ear loops must be carefully stretched out first to be comfortable, but they form a good seal. They also make it comfortable to breathe, even though it is thick, layered material, probably because it sits away from the mouth and nose, unlike a surgical mask. My only main complaint is that they have an unpleasant, chemical smell right out of the package. I took all of mine out and hung them from hangars in my closet to let them air out, and they no longer smell. I also added a few drops of eucalyptus oil on the inside, which I recommend trying. The only other minor complaint I have is the nose piece could be a little bit more mailable, but it’s no big deal. —Bottom line, I feel a lot more secure out in public wearing these masks than I did with the surgical type masks. They are comfortable enough and reusable (put it in a paper bag after removal and rotate wearing them). They do seem overpriced, but they are still worth the money. I might try a different brand next time, but I am satisfied with these."
25-Nov-20,Jonny C,3,7,1,"*Masks on left were verified online through website, masks on right had no sticker to verify and have different markings and feel. *Performed the leak test on the masks on the right.  They failed miserably. Water droplets were leaking within seconds of filling masks with some water. Completely disappointed in this order. The previous orders the masks seemed authentic with a method to confirm on their company website. This most recent order did not come with the verification sticker and also looks and feels different from previous orders. I will be collecting a refund from an unopened package. Pay attention to the markings on previous orders and compare it to more recent orders from the current seller. There are slight differences with the overall feel and look of these masks. Buyer beware. Unfortunately, this is the risk we assume when buying online and sometimes through third party sellers."
28-Jan-21,Anthony,1,7,1,"These masks are great! However, I received two fake shipments from Amazon, even with the “Ships and Sold by Amazon.com”. The sent masks were extremely similar to the real ones, even passed the anti-fake code, except the colors on the website did not match the same colors on the text for the code. The masks also had “KN95” printed on both sides of the mask that wasn’t present on any of the pictures on Amazon. I purchased the same brand/type from Office Depot that matched the colors of the verification code AND did not have “KN95” printed on the mask itself. Amazon was able to refund me for the purchases, but without carefully looking at the masks, it would be hard to tell if they’re legitimate."
22-Jul-20,Amazon Customer,4,19,0,"Masks arrived early via USPS, package was intact. I like the fact that the powecom KN95 masks are FDA approved."
14-Aug-20,Qmonk,3,11,0,"Received 10 days earlier than the estimated delivery date from Amazon. These masks are ok, not bad but not great. Mask size is ""relatively"" small.  Guess they were made to fit Chinese faces. Compared to all other masks I have bought, these are OVERPRICED.  They may be worth $2 a piece the most."
13-Oct-20,Primrose Hill,2,5,0,"Just received my package of 10 Powecom KN95 ear-loop masks today. I mainly ordered these on behalf of an elderly relative who has to receive a 4-hour medical treatment (renal dialysis) on 3 days a week in a room full of other ill patients, and who is not always given a surgical paper mask to wear at the facility and sometimes has to rely on the self-provided mask that he wears during the transportation from his home to the facility to continue to protect him during the 4-hour treatment.  For those days when he has to fall back on the self-purchased mask that he wears from home, I wanted him to have the most-protective mask that we can obtain in a straightforward way as private consumers, and I found this listing after a lot of searching. I confirmed for myself that this mask is listed on the US government site regarding accepted masks (I momentarily forget which site it is -- FDA or CDC), just as they claim.  Most of the other ""KN95"" masks that seem to be available for retail purchase are not on that list. For myself, in situations where I need to wear a mask, I have lately been wearing blue surgical paper masks that I buy at a local Kroger, and before I found that brand, I had to go through quite an array of brands before I found one where the surgical paper masks did not have a bad odor and/or did not immediately irritate my facial skin.  Even with a silicone mask holder that I wear around the back of my head, the paper masks seal on my face only moderately well, and they cling to my mouth no matter how I arrange the paper folds, especially when I talk.  Therefore, if I could find a more-structured KN95 mask that is comfortable, well-made, and fits my face well, I would switch to that type of mask.  So I was curious to try these out for myself, as well as having my relative try them. I opened the package tonight.  The 10 masks are not individually sealed, but rather are stacked together and placed in a plastic pouch that is not fully air-sealed along all edges (like a potato chip bag would be, or something like that), but has a sticky seal on the open side of the pouch which is folded over to close the pouch (like a self-seal flap of a paper envelope). I pulled the top mask off of the pile and put it on for about 3 seconds.  I would have worn it longer tonight to see how well it would seal around my face and if it inadvertently poked into my eyes (like a lot of masks do, because they are one-size-fits-all and made to accomodate people with larger faces than mine), but I needed to take it off quickly because it had an unpleasant ""chemical"" odor. I can't imagine wearing the mask and breathing in that odor for 10 minutes, let alone for several hours straight. I must say that I am more sensitive to odors than most people, so most people might not be bothered by this chemical odor. Additionally, one of the other reviewers here wrote that her masks had an unpleasant odor to them, so she hung them on hangers in her closet and let them air out, and they did eventually lose the odor in her experience, so that is encouraging, and is definitely something that I would do if I had no choice but to use these masks. Unfortunately, after I took off the mask that I had worn for just a moment, the skin on and around my nose and upper cheeks began to feel irritated, sore, and ""chapped"" (like a winter wind burn on the cheeks).  Now, a whole hour after I took the mask off, my skin still feels that way.  I don't know if this irritation is due to a chemical that is in the material, or to the surface scratchiness of the material itself, or to both. Even if the masks didn't have an odor that is (at least at this point in time, before any airing-out) too unpleasant for me to breathe in, I don't think I could wear them because of the lasting skin irritation that my nose and cheeks are still feeling, after having only fleeting contact with the material. I will note that my skin has always been sensitive, and in the last 5 years I have occasionally experienced this kind of skin irritation from some fabrics/pieces of clothing that have been apparently treated with some anti-insect, anti-mold/mildew types of chemicals at the point of manufacture.  I've bought a couple of items of clothing that never lost that chemical coating (even after I washed them numerous times and used vinegar, baking soda, borax, etc. in the wash water) and which I've had to give away, because they gave me an instant, visible skin rash whenever I tried to wear them. All-told, my first impression is that I am disappointed in these masks, at least for me, due to their noticeable odor and the facial skin irritation that I experienced from having brief contact with the mask material.  For myself, I will be sticking with my paper ""surgical-type"" masks from Kroger which are the least uncomfortable, least smelly, least scratchy masks that I have been able to find this year. I will now give this initial pack of 10 of Powecom ear-loop masks to the relative whom I ordered them for, to see if he likes them more than the blue-fronted paper surgical masks for travelling to and from (and sometimes for during) his dialysis sessions.  He is much less sensitive to odors and chemicals than I am, so I hope that these masks will work for him."
29-Sep-20,Jane W,1,10,1,"unfortunately, these masks are on revall list for defective protection. Not useable for the 95% efficiency advertised."
1-Feb-21,Cynthia H.,1,8,1,"I ordered KN95 masks that were reportedly made by Powecom (which are on the FDA emergency authorization list). Multiple images of the masks on the Amazon page *clearly* show masks that are imprinted the company name and other identifying markings. However, the masks I *received* had NO identifying marks at all (see image), which should appear on genuine Powecom KN95 masks. They were labeled ONLY with the word KN95. Therefore, it appears that the masks are counterfeit and thus I was unable to use them."
20-Nov-20,fixxxer,1,6,1,"The FDA site has about 5 reports (some as recent as October 2020) with photos showing the masks that were approved and tested. MY mask does not match any of these.  I can only assume it is counterfeit.  At a minimum, it does not have FDA EUA approval as the description indicates. All the FDA website masks have 2 solid line/bars on the left and right ""cheeks"" that hold the layers together.  Mine has about 11 dashed dimples that you can see through.  Clearly a different mask.  Packaging and writing on the mask also varies."
4-Nov-20,adam colbert,1,7,1,"I purchased a 10 pack to test them out. I wore one out and about and it was reasonably comfortable. I decided to do further research to see if these were actually KN95 masks as claimed. I've uploaded 3 photos showing my findings. I cut into the mask revealing that the mask only has 3 layers. I'm sure it will offer some protection, but these are not legitimate KN95 masks. The mask I tested was actually water proof and did not drip. The masks did melt when burned, so I guess that's a plus. I won't be using these going forward. It appears that these are not actually built to the correct standard for KN95 masks. I realize this company shows photos of certification, but it's likely the quality has gone down, or real KN95s were submitted to the agency that was doing the certification."
28-Aug-20,Sweetlytam,5,7,0,"It is so hard to navigate through real and fake products, I decided on these because they have the FDA Eua, even then I was a little skeptical as I am high risk and so are several in my family one being my pregnant daughter with lupus. I was pleasantly surprised when the seller reached out and sent me information to verify authenticity with numbers on each bag, it mean a lot that they wanted to make sure I felt safe while using their product."
3-Sep-20,Graphic Fusion,5,6,0,"What I like most about this mask is the anti-fake label, which works as intended.  When I checked my masks on the manufacturer website, they all came up genuine.  When I checked one package twice, the website told me someone had already checked that number at the date and time of my first check - and that it might be counterfeit.  So their ""anti-fake"" system does work. Kudos to the seller for emailing me prior to receipt of my shipment to tell me how to check the authenticity of the masks! There appears to be no size or form standard for a KN95 mask.  This mask seems to be of very ""average"" size and shape.  It fits like any other KN95 mask - fussy around the nose, and irritating to the ears.  It fits better if you snip the elastic ear loops and tie them onto headbands.  An ""ear saver"" does almost as well, but it can make the cheek area bag and leak.  The mask cannot function to its true potential unless it is tightly sealed.  I suppose that's possible with tape over the bridge of the nose."
